カテゴリ名,シーン名
母港画面,通常画面
母港画面,遠征帰投
母港画面,音量設定
編成画面,第１艦隊
編成画面,第２艦隊
編成画面,第３艦隊
編成画面,第４艦隊
編成画面,ソート画面
編成画面,編成記録
編成画面,編成展開
編成画面,随伴艦一括解除
改装画面,第１艦隊　１番艦
改装画面,第１艦隊　２番艦
改装画面,第１艦隊　３番艦
改装画面,第１艦隊　４番艦
改装画面,第１艦隊　５番艦
改装画面,第１艦隊　６番艦
改装画面,第２艦隊　１番艦
改装画面,第２艦隊　２番艦
改装画面,第２艦隊　３番艦
改装画面,第２艦隊　４番艦
改装画面,第２艦隊　５番艦
改装画面,第２艦隊　６番艦
改装画面,第３艦隊　１番艦
改装画面,第３艦隊　２番艦
改装画面,第３艦隊　３番艦
改装画面,第３艦隊　４番艦
改装画面,第３艦隊　５番艦
改装画面,第３艦隊　６番艦
改装画面,第４艦隊　１番艦
改装画面,第４艦隊　２番艦
改装画面,第４艦隊　３番艦
改装画面,第４艦隊　４番艦
改装画面,第４艦隊　５番艦
改装画面,第４艦隊　６番艦
改装画面,その他通常
改装画面,近代化改修
改装画面,装備選択
工廠画面,通常時
工廠画面,通常建造
工廠画面,大型艦建造
工廠画面,解体画面
工廠画面,開発画面
工廠画面,廃棄画面
入渠画面,通常時
入渠画面,損害状況
入渠画面,入渠設定
補給画面,補給画面
戦績表示,艦隊司令部情報
戦績表示,ランキング
アイテム,保有アイテム
アイテム,購入済みアイテム
任務画面,１ページ目
任務画面,２ページ目
任務画面,３ページ目
任務画面,４ページ目
任務画面,５ページ目
任務画面,６ページ目
任務画面,７ページ目
任務画面,８ページ目
任務画面,９ページ目
海域出撃,艦隊選択
海域出撃,海域マップ
海域出撃,進撃確認
海域出撃,ドロップ
海域出撃,護衛退避
基地航空隊,第一航空隊
基地航空隊,第二航空隊
基地航空隊,第三航空隊
基地航空隊,配備画面(陸攻)
基地航空隊,配備画面(陸戦)
基地航空隊,配備画面(艦戦)
基地航空隊,配備画面(艦爆)
基地航空隊,配備画面(偵察)
演習出撃,演習一覧
演習出撃,演習個別
演習出撃,艦隊選択
演習出撃,陣形選択
演習出撃,艦隊対峙
遠征出撃,遠征一覧
遠征出撃,遠征詳細
遠征出撃,艦隊選択
遠征出撃,遠征判定
遠征出撃,戦果報告
出撃経過,出撃画面
出撃経過,交戦形態
出撃経過,昼戦画面
出撃経過,夜戦画面
出撃経過,砲撃・連撃
出撃経過,対空カットイン
出撃経過,昼カットイン
出撃経過,魚雷カットイン
出撃経過,主砲カットイン
出撃経過,砲雷カットイン
出撃経過,中破画面
出撃経過,大破画面
出撃経過,夜戦確認
出撃経過,交戦結果
出撃経過,戦闘判定
出撃経過,戦果報告
