äÕëDID,ñºèÃ,É}Å[ÉN
82,à…ê®â¸,bbbbwwbbbbbbbbbbwwwbbbbbbbbbbwwwbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
83,ê‘èÈ,wwwbbwbbwbbwbbbwwwwwbbwwbbwwbwbbbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
87,ì˙å¸,wwbbbbbbbbbbbbbwwwwbbwwbwwwwwbwwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
117,êêñPâ¸,wwbbwwwwwwbbwwwwwwwwbwbbbbbbbbwbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
118,ëÂà‰â¸ìÒ,wwwwwwwbbbwwwwwwwwwwwwwbwwwwwbbwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
119,ñkè„â¸ìÒ,wwwwwwbwwwbbwwwwwwwwwwwwwbbwwwwwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
129,óÈíJâ¸,bbbbbbbwbbbbbbbbwwwwbbbwwwwwwwbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
130,åFñÏâ¸,wbbbbbbbwbbbbwwwwwwwwwbbwwwwwwbwwbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
136,ëÂòaâ¸,wwwwwwwbbbwwwwwwwwwwwbbbbwwbbwwwwbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
144,ó[óßâ¸ìÒ,bbbwwwbbbwwbbwwwwwwwwwbbwwwwwbbwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
148,ïêë†â¸,wwbbwwbbbbwbbwwwwwwwbwbbbbbbwbbwbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
149,ã‡çÑâ¸ìÒ,wbbbbbbbbbbbbbbbwwwbwbwbwbwbbwbwwbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
151,êYñºâ¸ìÒ,wbbbbbwbbbbbbbbbwwwwwwwwbbbwwwwwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
152,ñ∂ìáâ¸ìÒ,wwbbwbbwwbbwwbbwwwwwwbbbbbbbbbbbbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
153,ëÂñP,wwwwwwwbbbwwwwwwwwwwbwbbbbbbbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
166,Ç†Ç´Ç¬ä€â¸,wwwbbwbbwwbbwbbbwwwwwwwwwwwwwbbwwwwwwwwwwwwwwwwwwwbbwwwwwbbbbbwwwbbwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
178,Bismarck drei,wwbwwwbbbbwwwbbwwwwbbbwwwwwwbbwwwwwbwwwwwbbwwwwwwbbbbbwwwbbwwwwwbbwwwwwwwwbbbbbwwwwwwwwwwbbwwwwwbbwwwwbbwwwwwbbbbbbbbbwwbbwwwwww
187,ñæêŒâ¸,wbwwwbbwwbwwwwwbwwwwwbbbbbbbbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
193,ë´ïøâ¸ìÒ,wwwbbwwwbbwwwwwwwwwwbbbbwbbwbbbwwbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
194,âHçïâ¸ìÒ,wwwwwbbbwwwwwbbbwwwwbbbbbbbbbbbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
196,îÚó¥â¸ìÒ,bbbbbbbbbbbbbbwbbwwbbwwwbbwbbbbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
229,ìáïóâ¸,wwwbbbbbbbbbbbbbbwwwbbbbwwbwwbwbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
246,å‹åéâJâ¸,wwwwwwbbwwwwbbwwwwwwwbbwwwwwwwwbwwwwwbbwwbbwbwwbbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
275,í∑ñÂâ¸,bbbbbbbbbbbbbbbbbwwbbwwwwwwwwwwwbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
277,ê‘èÈâ¸,wwwbbwbbwbbwbbbwwwwwbbwwbbwwbwbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
278,â¡âÍâ¸,wwwbwwwbbwbbwwwbbwwwwbwwwwwwwwwbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
293,ó[í£â¸,bbbwwwbbbwwbbwwwwwbbbbbbbbbbbbbbbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
297,êÁë„ìcçqâ¸ìÒ,bbbbbbbbbbbbbbbbbwbbwbbwwwwwbbwwwwwwwbbbbbbbbbbbbbbbwwbbbbbbbbwbbwwbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
321,ëÂóÑâ¸,wwwwwwwbbbwwwwwwwwwwwwwwwbbwbbwwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
330,èHåéâ¸,wwbbbbwwwwbbbwwwwwwwwbbwwwwwwwwbwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
334,U-511â¸,wbbwwwwwwwbbwwwbbbbwwwwbwwwwbbwwwwwwwwbbwwwwwwwwwwbbwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
343,çÅéÊâ¸,bbbbwwwwbwwwwbbbbwwwbbbbbbwwbbwbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
352,ë¨ãzâ¸,bbbbbwbbbbbbbbbbwwwbwwbbwbbbbwwwbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
356,é≠ìáâ¸,wbbbbbbbbbbbbbbbwwwwwbbbbbbbbbbbbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
398,à…168â¸,bbbbwwbbbbbbbbbbwwwwwwwbbwwwwwwbbbwwwwbbwwwwbbbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
399,à…58â¸,bbbbwwbbbbbbbbbbwwwwbwwwwbbwwwwwwbbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
400,à…8â¸,bbbbwwbbbbbbbbbbwwwwwbbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
408,îπëÈâ¸ìÒ,wwwbwwwwbbwwwwwwwwwbbwbbbbbbbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
411,ï}åKâ¸ìÒ,wwbbbbbbbbbbbbbbbwwwbbbbbwwwbbbbbwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
412,éRèÈâ¸ìÒ,wbbwwwwwbwwwwwbbwwwwbbwwbbwwbwbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
418,éHåéâ¸ìÒ,wbbbbbbwbwbbbbbbwwwwwbbwwwwwwwwbwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
426,êÅê·â¸ìÒ,wbwwbbwwwwbbbwwwwwwwwwwwwwwwwwwwwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
427,íπäCâ¸ìÒ,wwwbbbbbbbbbbbbbbwwwwwbbbbbbbbbbbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
428,ñÄñÎâ¸ìÒ,wbbwwbbbbbbbbwwwwwwbbbbbbbwbbwwwbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
429,ìVèÈâ¸,wwwwwwwbbbwwwwwwwwwwbbwwbbwwbwbbbbwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
435,î@åéâ¸ìÒ,wbbwwwbwwbbwwwwbbwwwwbbwwwwwwwwbwwwwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
450,èHí√èFâ¸,wwbbbbwwwwbbbwwwwwwwwwwwwwwwbbwwwwwwwwwwbbbbwbbbwbbbbwwbwwwwbwwbbwbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
