シーン	x1	y1	r1	g1	b1	x2	y2	r2	g2	b2	x3	y3	r3	g3	b3
母港画面	381	472	197	187	90	766	448	95	184	185	99	72	199	176	93
工廠画面	150	175	254	203	93	150	350	70	128	75	150	350	70	128	75
数値設定	100	124	136	120	76	141	302	176	143	7	124	238	191	185	178
入渠画面	153	257	131	161	182	100	109	176	164	123	794	135	172	186	212
戦績表示	306	276	84	84	84	251	203	35	158	159	272	479	159	155	61
ランキング	87	189	79	152	139	158	81	196	169	87	47	333	115	166	202
マップ画面	221	448	21	69	93	64	301	147	122	40	799	239	61	139	180
昼戦画面	388	4	89	201	212	470	10	102	139	171	470	10	102	139	171
夜戦画面	388	4	89	177	220	470	10	9	46	81	470	10	9	46	81
交戦結果	87	77	255	246	242	409	77	255	246	242	61	20	3	91	96
戦果報告	51	77	255	246	242	395	289	255	246	242	0	0	36	54	63
演習一覧	140	131	103	83	46	654	119	255	191	96	654	119	255	191	96
演習個別	0	0	0	0	0	168	165	17	156	160	635	444	224	217	204
中破画面	0	0	250	250	250	700	316	230	180	114	760	447	238	180	116
大破画面	0	0	250	250	250	705	326	255	101	93	766	472	147	82	79
ソート画面	351	113	139	119	72	49	153	255	234	165	726	448	35	160	161
出撃画面	607	124	62	62	62	726	381	255	246	242	138	117	59	46	21
補給画面	31	190	214	127	9	682	115	212	132	40	678	169	107	123	95
夜戦マス	380	12	83	159	195	152	4	83	171	213	417	465	76	185	228
